"path_count","point_count","id","label","s_name","s_id"
38,2032,289,car,Archi,1663857093551
27,1235,290,fish,Archi,1663857093551
48,2355,291,house,Archi,1663857093551
108,2251,292,tree,Archi,1663857093551
68,3583,293,bicycle,Archi,1663857093551
19,2303,294,guitar,Archi,1663857093551
15,1000,295,pencil,Archi,1663857093551
30,1930,296,clock,Archi,1663857093551
7,807,297,car,Erendir,1663857099116
8,640,298,fish,Erendir,1663857099116
20,1135,299,house,Erendir,1663857099116
3,360,300,tree,Erendir,1663857099116
27,1110,301,bicycle,Erendir,1663857099116
16,1012,302,guitar,Erendir,1663857099116
10,411,303,pencil,Erendir,1663857099116
9,408,304,clock,Erendir,1663857099116
21,806,305,car,Anukrishnan,1663857420766
7,233,306,fish,Anukrishnan,1663857420766
7,134,307,house,Anukrishnan,1663857420766
5,314,308,tree,Anukrishnan,1663857420766
7,301,309,bicycle,Anukrishnan,1663857420766
13,716,310,guitar,Anukrishnan,1663857420766
7,292,311,pencil,Anukrishnan,1663857420766
2,170,312,clock,Anukrishnan,1663857420766
12,511,313,car,Abhi,1663857556678
6,509,314,fish,Abhi,1663857556678
14,402,315,house,Abhi,1663857556678
4,371,316,tree,Abhi,1663857556678
8,472,317,bicycle,Abhi,1663857556678
7,396,318,guitar,Abhi,1663857556678
8,135,319,pencil,Abhi,1663857556678
10,203,320,clock,Abhi,1663857556678
7,732,321,car,xjdeath,1663857628446
5,274,322,fish,xjdeath,1663857628446
9,631,323,house,xjdeath,1663857628446
8,586,324,tree,xjdeath,1663857628446
14,455,325,bicycle,xjdeath,1663857628446
8,1005,326,guitar,xjdeath,1663857628446
9,465,327,pencil,xjdeath,1663857628446
11,515,328,clock,xjdeath,1663857628446
6,909,329,car,Prem,1663857682812
7,518,330,fish,Prem,1663857682812
6,461,331,house,Prem,1663857682812
9,642,332,tree,Prem,1663857682812
12,485,333,bicycle,Prem,1663857682812
17,919,334,guitar,Prem,1663857682812
3,209,335,pencil,Prem,1663857682812
7,184,336,clock,Prem,1663857682812
42,6522,337,car,Duke,1663857712656
11,1710,338,fish,Duke,1663857712656
32,3182,339,house,Duke,1663857712656
12,1523,340,tree,Duke,1663857712656
35,3892,341,bicycle,Duke,1663857712656
23,2415,342,guitar,Duke,1663857712656
14,2572,343,pencil,Duke,1663857712656
22,2657,344,clock,Duke,1663857712656
5,325,345,car,Miguel Fernandes,1663857819143
4,373,346,fish,Miguel Fernandes,1663857819143
8,308,347,house,Miguel Fernandes,1663857819143
3,297,348,tree,Miguel Fernandes,1663857819143
6,189,349,bicycle,Miguel Fernandes,1663857819143
12,696,350,guitar,Miguel Fernandes,1663857819143
3,246,351,pencil,Miguel Fernandes,1663857819143
19,393,352,clock,Miguel Fernandes,1663857819143
16,1025,353,car,iron,1663857965969
20,20,354,fish,iron,1663857965969
28,1482,355,house,iron,1663857965969
16,628,356,tree,iron,1663857965969
33,1267,357,bicycle,iron,1663857965969
15,747,358,guitar,iron,1663857965969
8,574,359,pencil,iron,1663857965969
15,212,360,clock,iron,1663857965969
19,624,361,car,Dawood,1663858029955
18,535,362,fish,Dawood,1663858029955
16,533,363,house,Dawood,1663858029955
35,1300,364,tree,Dawood,1663858029955
21,514,365,bicycle,Dawood,1663858029955
21,453,366,guitar,Dawood,1663858029955
11,410,367,pencil,Dawood,1663858029955
10,356,368,clock,Dawood,1663858029955
8,123,369,car,Tharin Ransika ,1663858097314
19,206,370,fish,Tharin Ransika ,1663858097314
18,246,371,house,Tharin Ransika ,1663858097314
15,157,372,tree,Tharin Ransika ,1663858097314
12,204,373,bicycle,Tharin Ransika ,1663858097314
18,230,374,guitar,Tharin Ransika ,1663858097314
7,56,375,pencil,Tharin Ransika ,1663858097314
9,83,376,clock,Tharin Ransika ,1663858097314
6,214,377,car,Gurkirat ,1663858221250
21,218,378,fish,Gurkirat ,1663858221250
3,78,379,house,Gurkirat ,1663858221250
2,129,380,tree,Gurkirat ,1663858221250
3,67,381,bicycle,Gurkirat ,1663858221250
